congress,statabb,district,name,party,aauw,age,srvlng,woman,ngirls,nboys,demvote
105,NC,1,"CLAYTON, EVA",1,100,62,5,1,1,3,.63
105,TN,5,"CLEMENT, ROBERT N.",1,75,53,10,0,2,2,.55000001
105,SC,6,"CLYBURN, JAMES E.",1,100,56,5,0,3,0,.64999998
105,NC,6,"COBLE, HOWARD",2,0,65,13,0,0,0,.33000001
105,OK,2,"COBURN, THOMAS A.",2,0,48,3,0,3,0,.47
105,GA,3,"COLLINS, MICHAEL A. (MAC)",2,13,52,5,0,2,2,.41999999
105,TX,19,"COMBEST, LARRY E.",2,0,51,13,0,1,1,.25999999
105,CA,18,"CONDIT, GARY A.",1,63,48,8,0,1,1,.46000001
105,MI,14,"CONYERS, JOHN, JR.",1,100,67,33,0,0,2,.86000001
105,UT,2,"COOK, MERRILL A.",2,0,50,1,0,3,2,.41
105,LA,5,"COOKSEY, JOHN CHARLES",2,13,55,1,0,3,0,.47999999
105,IL,12,"COSTELLO, JERRY F.",1,63,47,9,0,1,2,.56
